Name,TimeLimit,Turn,Iter
M_RAVE,10,30,811
M_RAVE,10,31,1007
M_RAVE,10,32,1321
M_RAVE,10,33,1822
M_RAVE,10,34,2368
M_RAVE,10,35,5079
MCTS,10,1,337
MCTS,10,2,345
MCTS,10,3,340
MCTS,10,4,359
MCTS,10,5,365
MCTS,10,6,370
MCTS,10,7,371
MCTS,10,8,397
MCTS,10,9,405
MCTS,10,10,427
MCTS,10,11,431
MCTS,10,12,459
MCTS,10,13,477
MCTS,10,14,488
MCTS,10,15,472
MCTS,10,16,486
MCTS,10,17,504
MCTS,10,18,534
MCTS,10,19,527
MCTS,10,20,550
MCTS,10,21,590
MCTS,10,22,613
MCTS,10,23,651
MCTS,10,24,675
MCTS,10,25,703
MCTS,10,26,730
MCTS,10,27,876
MCTS,10,28,875
MCTS,10,29,800
MCTS,10,30,956
MCTS,10,31,1192
MCTS,10,32,1133
MCTS,10,33,1458
MCTS,10,34,1841
MCTS,10,35,3981
MCTS,10,1,309
MCTS,10,2,304
MCTS,10,3,338
MCTS,10,4,307
MCTS,10,5,332
MCTS,10,6,346
MCTS,10,7,355
MCTS,10,8,398
MCTS,10,9,401
MCTS,10,10,430
MCTS,10,11,434
MCTS,10,12,418
MCTS,10,13,497
MCTS,10,14,475
MCTS,10,15,511
MCTS,10,16,489
MCTS,10,17,542
MCTS,10,18,531
MCTS,10,19,572
MCTS,10,20,598
MCTS,10,21,622
MCTS,10,22,630
MCTS,10,23,686
MCTS,10,24,731
MCTS,10,25,822
MCTS,10,26,863
MCTS,10,27,961
MCTS,10,28,1087
MCTS,10,29,998
MCTS,10,30,1325
MCTS,10,31,1472
MCTS,10,32,1664
MCTS,10,33,2000
MCTS,10,34,2244
MCTS,10,35,4234
M_RAVE,10,1,318
MCTS,10,1,321
M_RAVE,10,2,328
MCTS,10,2,323
M_RAVE,10,3,328
MCTS,10,3,325
M_RAVE,10,4,332
MCTS,10,4,327
M_RAVE,10,5,303
MCTS,10,5,306
M_RAVE,10,6,352
MCTS,10,6,335
M_RAVE,10,7,356
MCTS,10,7,357
M_RAVE,10,8,377
MCTS,10,8,389
M_RAVE,10,9,390
MCTS,10,9,388
M_RAVE,10,10,392
MCTS,10,10,420
M_RAVE,10,11,414
MCTS,10,11,425
M_RAVE,10,12,429
MCTS,10,12,426
M_RAVE,10,13,441
MCTS,10,13,453
M_RAVE,10,14,449
MCTS,10,14,449
M_RAVE,10,15,449
MCTS,10,15,464
M_RAVE,10,16,471
MCTS,10,16,473
M_RAVE,10,17,490
MCTS,10,17,507
M_RAVE,10,18,503
MCTS,10,18,490
M_RAVE,10,19,552
MCTS,10,19,535
M_RAVE,10,20,600
MCTS,10,20,600
M_RAVE,10,21,650
MCTS,10,21,630
M_RAVE,10,22,617
MCTS,10,22,652
M_RAVE,10,23,631
MCTS,10,23,628
M_RAVE,10,24,681
MCTS,10,24,661
M_RAVE,10,25,723
